CNAPS号,银行名称,地址
************,************,************
"403531100028	","中国邮政储蓄银行有限责任公司神龙架林区木鱼镇支行",""
"403532001004	","中国邮政储蓄银行有限责任公司湖北省荆门市分行",""
"402791003235	","西安市未央区农村信用合作联社西航路分社",""
"402791003260	","西安市未央区农村信用合作联社前进村分社",""
"402791003384	","西安市未央区农村信用合作联社罗寨分社",""
"402795000611	","陕西杨凌农村商业银行股份有限公司邰城路支行",""
"402795100770	","兴平市农村信用合作联社",""
"402795100788	","兴平市农村信用合作联社南位信用社",""
"402795100954	","兴平市农村信用合作联社西街分社",""
"402795201140	","三原县农村信用合作联社西阳信用社",""
"402798103337	","合阳县农村信用合作联社百良信用社",""
"402798103361	","合阳县农村信用合作联社知堡信用社",""
"402798103415	","合阳县农村信用合作联社西街储蓄所",""
"402795000308	","咸阳市渭城区农村信用合作联社",""
"402795000507	","咸阳市渭城区农村信用合作联社毕塬路信用社",""
"402795000603	","咸阳市渭城区农村信用合作联社金旭大道信用社",""
"402795100807	","兴平市农村信用合作联社南市信用社",""
"402797200862	","韩城市农村信用合作联社北庄分社",""
"402797300953	","华县农村信用合作联社少华信用社",""
"402797301018	","华县农村信用合作联社赤水信用社",""
"402797301251	","华县农村信用合作联社子仪路分社",""
"402797401298	","华阴市农村信用合作联社华西信用社",""
"402807202962	","陕西清涧农村商业银行股份有限公司东街分理处",""
"402807203094	","陕西清涧农村商业银行股份有限公司折家坪支行",""
"402807303233	","陕西子洲农村商业银行股份有限公司马岔分理处",""
"402807303330	","陕西子洲农村商业银行股份有限公司淮宁湾分理处",""
"402821001075	","兰州市城关区农村信用合作联社拱星墩信用社",""
"402829507497	","甘肃临洮农村合作银行新街分理处",""
"402829507510	","甘肃临洮农村合作银行北关分理处",""
"402829600148	","漳县农村信用合作联社石川信用社",""
"402829604018	","漳县农村信用合作联社",""
"402829604026	","定西市漳县城关信用社",""
"402795203384	","三原县农村信用合作联社陂西信用社",""
"402829604034	","定西市漳县三岔信用社",""
"402829604059	","定西市漳县新寺信用社",""
"402829604083	","漳县农村信用合作联社武阳路信用社",""
"402829604106	","漳县农村信用合作联社盐井信用社",""
"402833203025	","泾川县农村信用合作联社城关信用社",""
"402833203033	","泾川县农村信用合作联社汭丰信用社",""
"402833203041	","泾川县农村信用合作联社太平信用社",""
"402833203068	","泾川县农村信用合作联社高平信用社",""
"402826303198	","甘肃敦煌农村合作银行黄渠支行",""
"402826303227	","甘肃敦煌农村合作银行西门分理处",""
"402804000224	","延安市宝塔区农村信用合作联社河庄坪信用社",""
"402821001317	","兰州市城关区农村信用合作联社天庆分社",""
"402821001350	","兰州市城关区农村信用合作联社东岗东路分社",""
"402821001510	","兰州市城关区农村信用合作联社房地产交易大厦分社",""
"402821001577	","兰州市城关区农村信用合作联社高新开发区分社",""
"402821002086	","兰州市七里河区农村信用合作联社土门墩分社",""
"402791009540	","西安市灞桥区农村信用合作联社骞柳分社",""
"402791021021	","西安市长安区韦曲农村信用合作社",""
"402791021909	","西安市长安区五台农村信用合作社",""
"402791033390	","西安市临潼区农村信用合作联社栎阳信用社",""
"402791033488	","西安市临潼区农村信用合作联社滩张分社",""
"402795301415	","泾阳县农村信用合作联社姚坊信用社",""
"402795301482	","泾阳县农村信用合作联社崇文信用社",""
"402795401723	","乾县农村信用合作联社铁佛信用社",""
"402795401803	","乾县农村信用合作联社乾陵信用社",""
"402795401926	","乾县农村信用合作联社梁村信用社",""
"402803601997	","陕西镇安农村商业银行股份有限公司木王支行",""
"402803602246	","陕西镇安农村商业银行股份有限公司镇城分理处",""
"402803702304	","陕西柞水农村商业银行股份有限公司下梁支行",""
"402803702554	","陕西柞水农村商业银行股份有限公司南街分理处",""
"402804000048	","延安市宝塔区农村信用合作联社兰家坪分社",""
"402827206157	","肃南县农村信用联社马蹄信用社",""
"402827206212	","肃南裕固族自治县农村信用合作联社",""
"402827304029	","甘肃民乐农村合作银行六坝支行",""
"402827304037	","甘肃民乐农村合作银行三堡支行",""
